CNTSCHID,AGE,Gender,PARED,HEDRES,MISCED,FISCED,HISCED,WEALTH,ESCS,INSTSCIE,SCIEEFF,JOYSCIE,ICTRES,HOMEPOS,HEDRES,CULTPOSS,PV1MATH,PV1READ,PV1SCIE
70400001,15.58,Boys,9,-1.0418,1,2,2,-2.0697,-1.7899,0.9798,0.1421,2.1635,-1.5244,-2.0537,-1.0418,-0.7273,439.923,412.29,475.612
70400001,15.92,Boys,12,-2.3041,1,4,4,-1.7903,-1.5423,1.7359,-0.8432,2.1635,-1.9305,-2.2627,-2.3041,-0.2031,406.251,409.598,450.32
70400001,15.42,Girls,9,-0.7218,1,2,2,-2.1942,-2.0475,-0.2063,-0.1824,-0.1808,-1.6093,-1.9675,-0.7218,-0.222,414.369,384.307,405.787
70400001,15.58,Girls,5,-1.4595,1,0,1,-2.0301,-2.6136,-0.3115,-1.0555,-0.4318,-1.625,-2.0686,-1.4595,-0.7039,468.801,459.104,462.968
70400001,15.92,Girls,9,-0.6172,2,2,2,-1.0522,-1.2179,0.7648,-0.1954,1.3031,-0.5305,-0.9471,-0.6172,-0.0971,355.432,402.435,453.736
70400001,16.25,Girls,5,-1.3738,1,1,1,-3.057,-2.8451,0.3708,-0.5652,0.5094,-2.5873,-2.6986,-1.3738,-0.2031,458.955,483.885,529.866
70400001,15.5,Girls,3,-1.718,0,0,0,-1.9577,-3.0971,0.7648,0.1559,1.3031,-1.8463,-2.4959,-1.718,-1.6287,241.408,379.759,337.25
70400001,15.92,Girls,5,-0.7218,1,0,1,-1.2749,-2.3882,0.3708,-0.5652,0.5094,-1.3205,-1.4554,-0.7218,-1.6287,442.53,477.973,508.161
70400001,15.42,Girls,9,-1.0418,2,NA,2,-2.5456,-2.0833,1.356,0.7451,0.5094,-1.7086,-2.2337,-1.0418,-0.4343,488.458,431.469,528.17
70400001,15.58,Boys,5,-1.718,1,0,1,-2.718,-3.0454,1.0728,-1.0494,0.8225,-3.2718,-3.1311,-1.718,-1.6287,362.771,383.802,398.424
70400001,16.17,Boys,3,-1.718,0,0,0,-2.6578,-3.3234,0.8545,-0.896,1.1049,-2.5873,-3.1118,-1.718,-1.6287,298.98,320.717,402.361
70400001,15.42,Boys,5,-0.7218,1,NA,1,-1.8993,-2.3582,0.0125,-0.8504,0.5094,-1.048,-1.8602,-0.7218,-0.831,477.324,436.314,465.824
70400001,16.08,Boys,9,-0.7218,2,NA,2,-1.4323,-1.5696,0.3708,-0.896,-2.1154,-0.7666,-1.5732,-0.7218,-1.6287,506.43,452.356,578.031
70400001,15.75,Boys,3,-2.3041,0,0,0,-3.0471,-3.4616,0.3708,-0.5727,-0.4071,-2.2483,-3.4879,-2.3041,-0.831,389.173,387.558,476.9
70400001,15.33,Boys,3,-1.718,0,0,0,-3.1196,-3.3078,0.9798,0.1421,2.1635,-2.2825,-3.1819,-1.718,-0.831,419.172,384.257,493.45
70400001,15.42,Boys,5,-1.718,0,1,1,-4.5167,-3.4303,-0.7778,0.3155,-0.8208,-3.2718,-4.1784,-1.718,-1.6287,442.178,420.749,523.692
70400002,16.17,Girls,5,-1.1023,0,1,1,-2.1395,-2.6823,1.0728,0.7614,1.1074,-1.5244,-1.6371,-1.1023,0.6093,573.997,596.379,600.69
70400002,15.33,Girls,3,-1.9024,0,0,0,-3.6264,-3.6551,1.0728,-0.7205,1.6903,-2.5873,-3.5084,-1.9024,-1.6287,479.898,511.44,547.094
70400002,15.58,Girls,5,-1.4299,0,1,1,-3.6264,-3.0568,0.8155,0.2971,0.8904,-2.5873,-3.0498,-1.4299,-0.2031,435.907,496.214,531.374
70400002,15.83,Girls,12,-0.1108,2,4,4,-1.6792,-0.0862,1.1325,0.5214,1.3396,-1.0259,-1.2243,-0.1108,-0.222,577.237,646.144,634.274
70400002,15.83,Girls,12,-1.718,0,4,4,-2.399,-1.8494,0.7648,-0.2297,1.0637,-1.9305,-2.4235,-1.718,-0.1661,527.242,646.119,642.401
70400002,16.17,Girls,5,-1.1119,0,1,1,-3.2539,-2.9287,0.3708,1.0083,1.3396,-2.2825,-2.3077,-1.1119,0.6093,602.353,548.828,646.156
70400002,15.58,Girls,5,-1.4432,1,1,1,-1.6185,-2.6957,0.7648,0.0851,1.3705,-1.1957,-1.6736,-1.4432,0.0433,378.611,488.472,486.315
70400002,16.17,Girls,3,-2.1544,0,0,0,-2.2447,-3.3107,0.3708,-0.8894,0.5094,-1.9305,-2.5712,-2.1544,-1.6287,400.984,472.896,469.579
70400002,15.58,Girls,3,-1.8245,0,0,0,-4.6185,-3.8384,0.8732,-0.4136,0.5094,-2.5873,-4.0072,-1.8245,-1.6287,478.714,530.567,532.926
70400002,16.08,Girls,17,-1.4432,1,6,6,-2.8036,-1.3776,0.3708,-0.3932,0.5094,-2.5873,-2.7422,-1.4432,-0.4945,423.085,453.125,493.179
70400002,16.25,Girls,9,0.0321,1,2,2,-2.4169,-2.0166,-0.0948,0.9777,0.8061,-1.6746,-2.0522,0.0321,-1.6287,435.456,493.486,485.031
70400002,15.42,Girls,5,-1.8677,0,1,1,-4.4797,-3.1275,1.0728,0.1559,0.5094,-3.1198,-2.8486,-1.8677,0.0058,437.487,496.541,512.684
70400002,15.67,Girls,9,-1.4432,2,2,2,-2.3272,-2.416,0.0125,-0.1859,-0.3522,-2.0614,-2.4641,-1.4432,-1.6287,395.968,437.61,422.002
70400002,15.42,Girls,17,-1.4432,2,6,6,-1.6512,0.5316,0.8155,-0.3991,0.8433,-1.7241,-1.8766,-1.4432,-0.4343,347.649,434.084,478.647
70400002,15.5,Girls,12,-0.1108,4,4,4,-0.9049,0.0187,-0.5375,-0.584,-0.4593,-0.5305,-0.9388,-0.1108,-1.6287,478.861,515.507,561.505
70400002,15.5,Girls,3,-1.1119,0,0,0,-3.5256,-3.3627,-0.7778,-1.8156,0.5094,-3.2718,-2.7126,-1.1119,-0.2598,412.361,520.715,506.051
70400002,15.83,Girls,5,-1.3821,1,0,1,-2.3369,-2.9809,0.3708,0.3155,0.5094,-2.0167,-2.4497,-1.3821,-0.831,377.56,426.732,463.36
70400002,15.33,Girls,5,-1.9024,0,1,1,-3.6264,-3.1326,0.9798,-0.7089,0.5094,-2.5873,-2.8625,-1.9024,0.0058,426.647,482.737,531.923
70400002,15.58,Girls,9,-1.4432,2,2,2,-2.15,-2.214,1.356,-0.5453,0.5094,-2.1424,-1.9147,-1.4432,0.2162,423.654,473.905,516.773
70400002,15.83,Girls,12,-1.4299,2,4,4,-2.8036,-2.1321,0.3708,-0.1743,0.8225,-2.5873,-2.8555,-1.4299,-1.6287,504.144,537.396,548.541
70400002,15.58,Girls,12,-0.6281,1,4,4,-1.6006,-0.2724,0.3708,0.1401,1.2596,-1.1173,-1.3938,-0.6281,-0.2285,390.555,485.361,453.417
70400002,15.92,Girls,9,-0.7218,2,2,2,-0.8329,-1.228,-0.5739,-0.6936,-2.1154,-0.2903,-0.7496,-0.7218,0.0058,481.353,507.209,506.663
70400002,16.08,Boys,9,-1.7837,1,2,2,-2.6493,-2.2059,1.0218,0.2785,1.2596,-1.9305,-2.6234,-1.7837,-0.831,612.829,566.902,586.511
70400002,15.83,Boys,12,-0.1108,4,4,4,-2.0105,-1.3481,1.1151,1.2591,1.6681,-1.6506,-1.0596,-0.1108,2.1655,465.821,441.451,518.511
70400002,15.75,Boys,12,0.0321,4,4,4,-0.7491,-0.3225,0.3708,-0.7457,0.5094,-0.1135,-0.6865,0.0321,-0.4343,379.032,446.803,457.018
70400002,16.25,Boys,5,-1.3821,0,1,1,-2.2396,-2.9251,0.7648,-0.1908,-0.5219,-1.7241,-2.2979,-1.3821,-0.4945,516.942,507.6,579.37
70400002,15.92,Boys,17,-0.1108,2,6,6,-0.9406,0.8554,0.3708,-0.5861,0.5094,-1.567,-0.9955,-0.1108,-0.9969,520.631,556.443,584.092
