STRATUM,CNTSCHID,SCHSIZE,CLSIZE,STRATIO,SCHLTYPE,Region,Area
VNM0313,70400001,883,18,22.075,3,SOUTH,URBAN
VNM0313,70400002,421,53,12.0286,3,SOUTH,URBAN
VNM0208,70400003,1277,38,16.8026,3,CENTRAL,URBAN
VNM0208,70400004,1587,38,18.0341,3,CENTRAL,URBAN
VNM0314,70400005,484,13,24.8205,3,SOUTH,RURAL
VNM0101,70400006,509,38,15.9063,3,NORTH,URBAN
VNM0314,70400007,1675,38,25.7692,3,SOUTH,RURAL
VNM0314,70400008,470,33,12.0513,3,SOUTH,RURAL
VNM0208,70400009,172,13,10.75,3,CENTRAL,URBAN
VNM0313,70400010,113,53,8.6923,3,SOUTH,URBAN
VNM0102,70400011,134,33,10.3077,3,NORTH,RURAL
VNM0102,70400012,1003,33,15.9206,3,NORTH,RURAL
VNM0208,70400013,1507,43,20.7862,3,CENTRAL,URBAN
VNM0208,70400014,165,13,9.4286,3,CENTRAL,URBAN
VNM0314,70400015,736,33,16.5393,3,SOUTH,RURAL
VNM0314,70400016,354,13,13.1111,3,SOUTH,RURAL
VNM0102,70400017,512,33,16,3,NORTH,RURAL
VNM0314,70400018,384,33,16.3404,3,SOUTH,RURAL
VNM0208,70400019,262,13,12.7805,3,CENTRAL,URBAN
VNM0207,70400020,1805,43,19,3,CENTRAL,RURAL
VNM0313,70400021,1288,53,16.9474,3,SOUTH,URBAN
VNM0207,70400022,1075,43,15.4676,3,CENTRAL,RURAL
VNM0314,70400023,1169,38,18.8548,3,SOUTH,RURAL
VNM0314,70400024,914,38,16.9259,3,SOUTH,RURAL
VNM0207,70400025,1440,38,27.9612,3,CENTRAL,RURAL
VNM0103,70400026,1130,38,17.3846,3,NORTH,REMOTE
VNM0208,70400027,415,33,18.0435,3,CENTRAL,URBAN
VNM0207,70400028,545,28,10.1869,3,CENTRAL,RURAL
VNM0207,70400029,969,38,15.1406,3,CENTRAL,RURAL
VNM0313,70400030,643,43,6.8404,3,SOUTH,URBAN
VNM0207,70400031,1702,53,18.1064,3,CENTRAL,RURAL
VNM0314,70400032,1089,38,24.4719,3,SOUTH,RURAL
VNM0211,70400033,186,33,5.8125,1,CENTRAL,RURAL
VNM0101,70400034,1174,48,19.5667,3,NORTH,URBAN
VNM0101,70400035,1836,38,20.1758,3,NORTH,URBAN
VNM0314,70400036,533,33,16.9206,3,SOUTH,RURAL
VNM0208,70400037,1086,38,15.854,3,CENTRAL,URBAN
VNM0101,70400038,970,53,15.9016,3,NORTH,URBAN
VNM0101,70400039,336,33,28,3,NORTH,URBAN
VNM0313,70400040,1578,43,17.5333,3,SOUTH,URBAN
VNM0313,70400041,3373,43,20.1976,3,SOUTH,URBAN
VNM0313,70400042,1120,43,13.3333,3,SOUTH,URBAN
VNM0102,70400043,1218,43,15.225,3,NORTH,RURAL
VNM0313,70400044,1201,33,13.419,3,SOUTH,URBAN
VNM0313,70400045,2893,43,18.3101,3,SOUTH,URBAN
VNM0315,70400046,1176,53,14.9809,3,SOUTH,REMOTE
VNM0313,70400047,1233,43,19.8871,3,SOUTH,URBAN
VNM0102,70400048,1484,43,21.2,3,NORTH,RURAL
VNM0313,70400049,1615,43,16.911,3,SOUTH,URBAN
VNM0208,70400050,978,43,20.375,3,CENTRAL,URBAN
VNM0313,70400051,1192,38,24.5773,3,SOUTH,URBAN
VNM0208,70400052,985,43,18.0734,3,CENTRAL,URBAN
VNM0208,70400053,1068,43,19.9626,3,CENTRAL,URBAN
VNM0208,70400054,564,38,5.8144,3,CENTRAL,URBAN
VNM0103,70400055,650,33,16.6667,3,NORTH,REMOTE
VNM0101,70400056,575,33,14.0244,3,NORTH,URBAN
VNM0102,70400057,741,38,18.0732,3,NORTH,RURAL
VNM0314,70400058,1405,38,16.6272,3,SOUTH,RURAL
VNM0208,70400059,1799,43,24.1477,3,CENTRAL,URBAN
VNM0102,70400060,738,38,21.0857,3,NORTH,RURAL
VNM0313,70400061,1500,43,15.4639,3,SOUTH,URBAN
VNM0101,70400062,1482,43,18.0732,3,NORTH,URBAN
VNM0314,70400063,278,23,13.2381,3,SOUTH,RURAL
VNM0207,70400064,499,38,5.8023,3,CENTRAL,RURAL
VNM0101,70400065,1452,38,9.9452,3,NORTH,URBAN
VNM0208,70400066,1169,43,23.1485,3,CENTRAL,URBAN
VNM0313,70400067,491,38,8.1833,3,SOUTH,URBAN
VNM0209,70400068,793,38,21.4324,3,CENTRAL,REMOTE
VNM0207,70400069,1886,43,17.463,3,CENTRAL,RURAL
VNM0102,70400070,914,43,17.2453,3,NORTH,RURAL
VNM0313,70400071,1360,38,18.6301,3,SOUTH,URBAN
VNM0208,70400072,1241,43,17.2361,3,CENTRAL,URBAN
VNM0102,70400073,555,13,18.5,3,NORTH,RURAL
VNM0208,70400074,1214,43,22.0727,3,CENTRAL,URBAN
VNM0314,70400075,370,53,10.8824,3,SOUTH,RURAL
VNM0101,70400076,151,33,4.3143,3,NORTH,URBAN
VNM0207,70400077,1393,53,17.859,3,CENTRAL,RURAL
VNM0102,70400078,896,43,20.8372,3,NORTH,RURAL
VNM0209,70400079,691,53,21.9365,3,CENTRAL,REMOTE
VNM0313,70400080,874,43,16.4906,3,SOUTH,URBAN
VNM0102,70400081,761,38,17.2955,3,NORTH,RURAL
VNM0211,70400082,372,53,16.9091,1,CENTRAL,RURAL
VNM0102,70400083,1158,38,15.44,3,NORTH,RURAL
VNM0208,70400084,1274,33,16.3333,3,CENTRAL,URBAN
VNM0314,70400085,976,33,14.5672,3,SOUTH,RURAL
VNM0210,70400086,307,38,19.1875,1,CENTRAL,URBAN
VNM0313,70400087,414,53,5.9143,3,SOUTH,URBAN
